run_id,voxel_size_scan,voxel_size_map,ndt_cell_size,ndt_iterations,r_scan,r_map_factor,zlim_min,zlim_max,r_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
3,0.35,0.7,4,10,0.5,2.0,0.0,7.0,1.0,"[550, 650]","[0.0, 7.0]",,,1.405843751848283,0.7208603223390069,-0.00395147636381258,-0.0048848620780982946,4.934465169906616
4,0.35,0.7,4,10,0.5,3.0,0.0,7.0,1.5,"[550, 650]","[0.0, 7.0]",,,1.350176363911715,0.6595022601744466,0.0006794885203430592,0.00018891072121953793,4.802423278490703
5,0.35,0.7,4,10,0.5,4.0,0.0,7.0,2.0,"[550, 650]","[0.0, 7.0]",,,1.346698069167894,0.6546798118639109,0.00043621259734516124,-0.0001683954909594856,4.67132584253947
7,0.35,0.7,4,10,1,1,0.0,7.0,1,"[550, 650]","[0.0, 7.0]",,,1.380726831341519,0.6791518970180377,-0.0011952183158107609,-0.0042461268829000485,2.7213833548805932
8,0.35,0.7,4,10,1,2.0,0.0,7.0,2.0,"[550, 650]","[0.0, 7.0]",,,1.4033930997749522,0.5695886972361575,-0.007540784130184892,-0.009798472301302156,2.6678426111898115
9,0.35,0.7,4,10,1,3.0,0.0,7.0,3.0,"[550, 650]","[0.0, 7.0]",,,1.3044533134569014,0.6619897145195154,0.00011589312372253455,-0.002706665687007364,2.3944119044712613
10,0.35,0.7,4,10,1,4.0,0.0,7.0,4.0,"[550, 650]","[0.0, 7.0]",,,1.4586466296350917,0.6861927606907372,0.00032320000000000265,-0.007777631352423577,2.202551018108021
11,0.35,0.7,4,10,1.5,0.5,0.0,7.0,0.75,"[550, 650]","[0.0, 7.0]",,,1.3449736094075204,0.6526975924602496,0.0007367346449205919,0.00016125609478719743,1.9723481337229412
12,0.35,0.7,4,10,1.5,1,0.0,7.0,1.5,"[550, 650]","[0.0, 7.0]",,,1.5025660705111739,0.4835754154435199,-0.0032914100310360433,-0.0076750005684134755,1.7288139528698392
13,0.35,0.7,4,10,1.5,2.0,0.0,7.0,3.0,"[550, 650]","[0.0, 7.0]",,,0.9592171999101448,0.44306839148060395,-0.0005498754759854264,-0.008453839213170156,1.5842159628868102
14,0.35,0.7,4,10,1.5,3.0,0.0,7.0,4.5,"[550, 650]","[0.0, 7.0]",,,1.282600464544074,0.48970612310155737,0.00032320000000000265,-0.012487492675692052,1.6346655903440532
15,0.35,0.7,4,10,1.5,4.0,0.0,7.0,6.0,"[550, 650]","[0.0, 7.0]",,,1.3196441809403228,0.6364841217885697,0.00032320000000000265,-0.002165994284749359,1.6040789186954498
16,0.35,0.7,4,10,2,0.5,0.0,7.0,1.0,"[550, 650]","[0.0, 7.0]",,,1.2193705538851551,0.6108240351170082,8.404511842787302e-05,-0.0015532451521254086,1.7538334727287292
17,0.35,0.7,4,10,2,1,0.0,7.0,2,"[550, 650]","[0.0, 7.0]",,,1.4595218015360918,0.6867924283728674,-0.005653974469539722,-0.008712010537212276,1.741355836391449
18,0.35,0.7,4,10,2,2.0,0.0,7.0,4.0,"[550, 650]","[0.0, 7.0]",,,1.338007485405595,0.5209987375135187,0.00032320000000000265,-0.007414354743834845,1.4902354108876195
19,0.35,0.7,4,10,2,3.0,0.0,7.0,6.0,"[550, 650]","[0.0, 7.0]",,,1.903162900823714,0.5773480602978642,0.00032320000000000265,-0.010379009038978497,1.502079039812088
20,0.35,0.7,4,10,2,4.0,0.0,7.0,8.0,"[550, 650]","[0.0, 7.0]",,,1.3591944007395051,0.5350523657294535,0.00032320000000000265,-0.004176437401503469,1.3120792071024576
21,0.35,0.7,4,10,3,0.5,0.0,7.0,1.5,"[550, 650]","[0.0, 7.0]",,,1.366247430677403,0.6777910114827724,-0.007069485643461135,-0.009270663605929048,1.6347961255482264
22,0.35,0.7,4,10,3,1,0.0,7.0,3,"[550, 650]","[0.0, 7.0]",,,1.2785475273682225,0.6658985965070964,0.00014042003476169226,-0.0022411872810786343,1.4994063973426819
23,0.35,0.7,4,10,3,2.0,0.0,7.0,6.0,"[550, 650]","[0.0, 7.0]",,,1.332673652079586,0.6548585623291052,0.00032320000000000265,-0.002375959963304518,1.4268060624599457
