run_id,voxel_size_scan,voxel_size_map,ndt_cell_size,ndt_iterations,r_scan,r_map,zlim_min,zlim_max,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
1,0.35,0.5,0.5,10,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.3677172968490279,0.665199601798318,0.001728900000000002,0.0007955142857142872,0.539508581161499
2,0.35,0.5,1,10,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.4157243523041907,0.6732154540240771,-0.0027306322272105284,-0.036644612797967234,0.535616570048862
3,0.35,0.5,1.5,10,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.4936592902869834,0.46248603082207057,0.0,-0.01393513044522078,1.059923895474138
4,0.35,0.5,2,10,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.2513645879319115,0.28240735277304047,0.0003698529957503992,-0.01014140650640419,1.448487917582194
5,0.35,0.5,2.5,10,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.3977443923857231,0.7351977630352525,0.0009195070507161882,-0.0007317359676676838,1.5043561458587646
6,0.35,0.5,3,10,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.2884950747948465,0.3957010247890966,-1.7704118123497425e-06,-0.012461181482026327,1.5510655340257582
