run_id,voxel_size_scan,voxel_size_map_factor,ndt_cell_size,ndt_iterations,r_scan,r_map_factor,zlim_min,zlim_max,voxel_size_map,r_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
25,0.25,2.2,4,10,1.7,1.8,0.0,7.0,0.55,3.06,"[550, 650]","[0.0, 7.0]",,,1.266956622733601,0.5933429763724696,0.001131655273721336,0.0003607682412758365,2.1130085786183677
26,0.25,2.2,4,10,1.7,2.0,0.0,7.0,0.55,3.4,"[550, 650]","[0.0, 7.0]",,,1.2660003452927486,0.5926652745889743,0.0011354820656367809,0.00036360557136937095,2.06182066599528
27,0.25,2.2,4,10,1.7,2.2,0.0,7.0,0.55,3.74,"[550, 650]","[0.0, 7.0]",,,1.2665968836733794,0.592964683797598,0.0012075140702713233,0.0004151551734614946,2.070955435434977
28,0.35,1.8,4,10,1.3,1.8,0.0,7.0,0.63,2.3400000000000003,"[550, 650]","[0.0, 7.0]",,,1.407149757311312,0.6623177269464025,0.007299397190434299,0.002513423534766652,1.9548049569129944
29,0.35,1.8,4,10,1.3,2.0,0.0,7.0,0.63,2.6,"[550, 650]","[0.0, 7.0]",,,1.3167677032371086,0.663907780478022,0.0030423777421491154,-0.001903460943716926,1.9638745254940457
30,0.35,1.8,4,10,1.3,2.2,0.0,7.0,0.63,2.8600000000000003,"[550, 650]","[0.0, 7.0]",,,1.2548513965361747,0.5991204598327586,0.012659394899999949,0.0010449991971018928,1.926647663116455
31,0.35,1.8,4,10,1.5,1.8,0.0,7.0,0.63,2.7,"[550, 650]","[0.0, 7.0]",,,1.3956470979261995,0.6792761973674524,0.013334403304250786,0.0005370208526784872,1.818697452545166
32,0.35,1.8,4,10,1.5,2.0,0.0,7.0,0.63,3.0,"[550, 650]","[0.0, 7.0]",,,1.2934568200924956,0.6162690988457938,0.005848765004762798,-0.002853415030888192,1.8804630041122437
33,0.35,1.8,4,10,1.5,2.2,0.0,7.0,0.63,3.3000000000000003,"[550, 650]","[0.0, 7.0]",,,1.352880687950989,0.6474882862854199,0.001688762344119004,-0.00016806710187190996,1.8371275067329407
34,0.35,1.8,4,10,1.7,1.8,0.0,7.0,0.63,3.06,"[550, 650]","[0.0, 7.0]",,,1.4101981503189076,0.7090354350241784,0.0016899908110102994,-0.002809630324046522,1.7739494144916534
35,0.35,1.8,4,10,1.7,2.0,0.0,7.0,0.63,3.4,"[550, 650]","[0.0, 7.0]",,,1.3114582827284356,0.6103898087694619,0.004004639468850291,-0.002969632971579988,1.7412855923175812
36,0.35,1.8,4,10,1.7,2.2,0.0,7.0,0.63,3.74,"[550, 650]","[0.0, 7.0]",,,1.249293395680023,0.6029709562028038,0.012449474244114755,0.0001490320070153354,1.7501548826694489
37,0.35,2.0,4,10,1.3,1.8,0.0,7.0,0.7,2.3400000000000003,"[550, 650]","[0.0, 7.0]",,,1.3675765451426487,0.6113393996823107,0.0001459352192970942,-0.004562123286368205,1.8336406230926514
38,0.35,2.0,4,10,1.3,2.0,0.0,7.0,0.7,2.6,"[550, 650]","[0.0, 7.0]",,,1.225457163859724,0.6236687480884542,0.0001459341685077671,-0.003519381267163065,1.8519314697810583
39,0.35,2.0,4,10,1.3,2.2,0.0,7.0,0.7,2.8600000000000003,"[550, 650]","[0.0, 7.0]",,,1.2187057179257947,0.6010430077920752,0.0001010449556599971,-0.01099511757794793,1.857094273847692
40,0.35,2.0,4,10,1.5,1.8,0.0,7.0,0.7,2.7,"[550, 650]","[0.0, 7.0]",,,1.3536387620880888,0.6858939347981496,0.00010734404304919495,-0.002274411397457767,1.7548680305480957
41,0.35,2.0,4,10,1.5,2.0,0.0,7.0,0.7,3.0,"[550, 650]","[0.0, 7.0]",,,0.9592171999101448,0.44306839148060395,-0.0005498754759854264,-0.008453839213170156,1.5888197231292724
42,0.35,2.0,4,10,1.5,2.2,0.0,7.0,0.7,3.3000000000000003,"[550, 650]","[0.0, 7.0]",,,1.2305816139688874,0.6541957696019958,9.810138032980906e-05,-0.0021134141881060196,1.655992567539215
43,0.35,2.0,4,10,1.7,1.8,0.0,7.0,0.7,3.06,"[550, 650]","[0.0, 7.0]",,,1.2697454182580168,0.630954005602733,0.00010768636582102892,-0.0020696619177473694,1.7099258601665497
44,0.35,2.0,4,10,1.7,2.0,0.0,7.0,0.7,3.4,"[550, 650]","[0.0, 7.0]",,,1.321883535267105,0.6772143754537743,0.0001072848920962953,-0.002024098377181538,1.6134574711322784
45,0.35,2.0,4,10,1.7,2.2,0.0,7.0,0.7,3.74,"[550, 650]","[0.0, 7.0]",,,1.301409710560002,0.6350841769157145,0.00032320000000000265,-0.001876133970342723,1.578128457069397
46,0.35,2.2,4,10,1.3,1.8,0.0,7.0,0.77,2.3400000000000003,"[550, 650]","[0.0, 7.0]",,,1.2334224011400807,0.6081128455682158,0.0029091059126499647,-0.0026607923849383754,1.819084596633911
47,0.35,2.2,4,10,1.3,2.0,0.0,7.0,0.77,2.6,"[550, 650]","[0.0, 7.0]",,,1.2342723012425294,0.42657468609787486,0.012494145488682662,-0.004831282194384339,1.6929409475887522
