run_id,voxel_size_scan,ndt_cell_size,ndt_iterations,r_scan,r_map,zlim_min,zlim_max,voxel_size_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
1,0.1,4,10,1.5,3.0,0.0,7.0,0.1,"[550, 650]","[0.0, 7.0]",,,1.2553717690285655,0.6252733215939656,0.001814709070914109,0.0007682910166859928,2.7825662408556258
2,0.25,4,10,1.5,3.0,0.0,7.0,0.25,"[550, 650]","[0.0, 7.0]",,,1.2349663610098238,0.5769919903555346,0.005881499640757881,0.002444612906410589,2.2113491694132485
3,0.35,4,10,1.5,3.0,0.0,7.0,0.35,"[550, 650]","[0.0, 7.0]",,,1.2522485461987176,0.5984948313998808,0.0020708874151714775,0.0012894548331481293,1.8340322630746024
4,0.5,4,10,1.5,3.0,0.0,7.0,0.5,"[550, 650]","[0.0, 7.0]",,,1.2675526824463927,0.5712667499659163,-0.006039930653749453,-0.0195659089056312,1.4001171024222123
5,0.75,4,10,1.5,3.0,0.0,7.0,0.75,"[550, 650]","[0.0, 7.0]",,,1.2798845676168513,0.6794972765941634,0.0049253254627065965,-0.009842598556210865,1.0708205018724715
6,1,4,10,1.5,3.0,0.0,7.0,1,"[550, 650]","[0.0, 7.0]",,,1.21256140465593,0.31212137247912874,0.001304645729048981,0.0003979469883045441,0.8848904768625895
