desired_heading,heading,steer_output,desired_velocity,velocity,throttle_output
-0.0009983040277908768,0.01493693194317087,-0.32986097812250526,0,9.642780925562853e-08,-5.062942124966776e-07
-0.008639602190756358,0.01493693194317087,-0.017861256189877106,1.92492119972014,2.540516533019207e-08,0.6918605382612076
-0.02280234428903594,0.01493693194317087,-0.031122975960897897,2.9124376493075177,1.6612539352215685e-08,1.0
-0.03322220345945115,0.012544255433383911,-0.03582525726511756,2.9999999351857016,1.7540438353329502,0.4440249593946357
-0.03822326443138676,-0.0025417206842972997,-0.022447592198181203,2.9999999351857016,3.20443015409694,0.09702172769173256
-0.03215412320113808,-0.012316054777180445,-0.007646236973867931,2.9999999894743206,3.036007092149858,0.2877506415871512
-0.022432051837579195,-0.016219714222423992,0.0010607831677291084,2.999999993422577,2.7825618523185005,0.3666091031235687
-0.013569900699369357,-0.01659256093622429,0.005248747506976242,2.999999990253793,2.9094254996105233,0.2913534430259473
-0.005379764506193414,-0.014972825320940793,0.008500697845893504,2.999999988746135,2.9931286861247814,0.2760858571144674
0.0015395784473009064,-0.01220633254026918,0.010496207674969256,2.9999999860304696,2.9557812691998597,0.30003991363834104
0.007186353623712013,-0.008819323225609105,0.011303076177147344,2.9999999921715417,2.942392804209706,0.3018228581623083
0.011816410236891253,-0.004832572114057786,0.0110168431340095,2.999999988298562,2.9616387070747607,0.2939487470126587
0.014987550539382707,-0.0008532766832242253,0.009840860576349291,2.9999999851216854,2.967787779842979,0.29462525075603946
0.006016637637222309,0.0027367933330307258,-0.0044783862640232555,2.999999985770014,2.965214133655738,0.2970290886696744
-0.023216458919773666,0.0021403807475764073,-0.03232695380254828,2.99999999336364,2.967460054710617,0.29658194103104324
-0.06599012593615294,-0.007931958470543352,-0.056329179566002,2.9999999847462164,2.9705178253237663,0.29641291431152944
-0.11199292398662068,-0.02545662422784942,-0.07591330427482731,2.9999999897480776,2.971790281609008,0.2968633321956074
-0.15490534921296184,-0.05084187573848472,-0.08305772329975152,2.99999999003968,2.973323361211753,0.29702604320281223
-0.18974071431768605,-0.0797744911106192,-0.08221186251586718,2.9999999859653927,2.9758415361220685,0.2968063295281444
-0.212698811335186,-0.1091481426040276,-0.07247182253951813,2.9999999804200854,2.9781504173510127,0.2967261319189021
-0.2210578935409187,-0.1347667619275595,-0.05536831047256202,2.999999987296586,2.9800429064757057,0.2967038937480943
-0.21702089543196326,-0.15634160416240145,-0.034303846937157684,2.999999978506454,2.9817449162985503,0.29671006086668933
-0.21696767178694057,-0.17018155300483886,-0.029833458083437087,2.999999989297897,2.983032594935599,0.29678099111235434
-0.22187983103638798,-0.1815735075285186,-0.029209315910456033,2.9999999823131076,2.9840515425264544,0.2969154064426156
-0.22456193864944157,-0.19184801630355794,-0.023338629120650076,2.99999998902171,2.9850640185061565,0.2969681218218297
-0.2220351247562999,-0.201071641712452,-0.013564413688121658,2.9999999766183807,2.9862743750014493,0.296956045409437
-0.21165415548696226,-0.2066035599287646,-0.00010820478667846779,2.999999980757779,2.9872668880072735,0.2969909368057758
-0.19289956871102845,-0.20787601829760446,0.015906286974165667,2.999999983180828,2.9880389793109665,0.29707535164240495
-0.16573662439401035,-0.20341950117422267,0.03267269714785595,2.999999969318967,2.988700726330047,0.29717728295407414
-0.1331110922750831,-0.1941047956560479,0.05076321059047083,2.9999999879250496,2.9891622455931866,0.29729252768225184
-0.09610515640155062,-0.1776262034503168,0.06344944352831106,2.9999999893481872,2.9896152412213226,0.2974020061723489
-0.05554619153312922,-0.15553201983577417,0.07543054878912984,2.9999999768078727,2.990367417409803,0.2973946510550612
-0.01660854934549425,-0.13060851052388817,0.08408076752722721,2.9999999814869116,2.9908948644349103,0.297473697477414
0.019328940806998204,-0.10240073269906762,0.08696121515533796,2.999999985287266,2.9914927952656942,0.29749305758515876
0.05086028260650176,-0.07229471190588742,0.08544146103084028,2.9999999849717898,2.9923796474436952,0.29739922120670503
0.07590246701767712,-0.04260898786699217,0.0797898184130454,2.999999987591058,2.993221396756831,0.2973346839210863
0.09395195387249425,-0.014471084731272564,0.07057004999511525,2.9999999903255055,2.993942827291624,0.2972950776757084
0.1060687373704232,0.01204348648139464,0.059170718278509934,2.999999978637548,2.994590580443386,0.2972643014676899
0.10966007371276376,0.03388483207875867,0.044620515775015225,2.9999999787610667,2.995113688962659,0.29724828447203794
0.10703009814843319,0.0505398316589777,0.030764830753370456,2.999999981809322,2.9955352453704793,0.2972474577546701
