run_id,voxel_size_scan,voxel_size_map,ndt_cell_size,ndt_iterations,r_scan,r_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
1,0.2,0.3,1.0,5,1.0,2.0,"[550, 650]","[0, 7]",,,1.2171190499711475,0.6360017620978546,0.006988296441182323,-0.004885692939444415,0.6511073708534241
2,0.2,0.3,1.0,5,1.0,3.0,"[550, 650]","[0, 7]",,,1.3380712305686064,0.5909662685169979,3.294170802016841e-05,-0.0026143898877757435,0.6194925904273987
3,0.2,0.3,1.0,5,1.0,4.0,"[550, 650]","[0, 7]",,,1.2084603509795615,0.5725815285207237,0.00034452534013275707,-0.0012993657689153472,0.6009644667307535
4,0.2,0.3,1.0,5,1.5,2.0,"[550, 650]","[0, 7]",,,1.6160615297739886,0.5384124984040888,0.03227692125622809,0.010556668941237982,0.5153104918343681
