run_id,voxel_size_scan,voxel_size_map,ndt_cell_size,ndt_iterations,r_scan,r_map,zlim_min,zlim_max,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
1,0.35,0.5,1.5,5,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.4958161107352825,0.4724703104308733,0.0,-0.007864017536553162,0.5251650030796344
2,0.35,0.5,1.5,10,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.4936592902869834,0.46248603082207057,0.0,-0.01393513044522078,1.0595994653372929
3,0.35,0.5,1.5,20,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.2099958473328116,0.5630175178689842,0.02673052818299937,0.005515067034211221,2.5466239750385284
4,0.35,0.5,1.5,30,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.2099958473328116,0.5630175178689842,0.02673052818299937,0.005515067034211221,3.836082677046458
5,0.35,0.5,1.5,40,1.5,3.0,0.0,7.0,"[550, 650]","[0.0, 7.0]",,,1.2099958473328116,0.5630175178689842,0.02673052818299937,0.005515067034211221,5.088307410478592
