run_id,voxel_size_scan,voxel_size_map,ndt_cell_size,ndt_iterations,r_scan,r_map,zlim_min,zlim_max,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
1,0.25,0.5,4,10,1.5,3.0,-1,2,"[550, 650]","[-1, 2]",,,7.926142512583545,0.9174136835100641,1.4836473217127784,0.06856025765720855,0.7536679638756646
2,0.25,0.5,4,10,1.5,3.0,-1,4,"[550, 650]","[-1, 4]",,,1.220917526447567,0.5480367545300628,-0.0057533554266898795,-0.006279123014707731,1.4808953404426575
3,0.25,0.5,4,10,1.5,3.0,-1,5,"[550, 650]","[-1, 5]",,,1.3195624348883348,0.494158744567652,0.03916475852004757,0.007494141648683388,1.6439893913269044
4,0.25,0.5,4,10,1.5,3.0,-1,6,"[550, 650]","[-1, 6]",,,1.235148732482577,0.6233435611807033,0.0007456592664798305,2.5735516179513758e-05,1.7590443690617878
5,0.25,0.5,4,10,1.5,3.0,-1,7,"[550, 650]","[-1, 7]",,,1.0963689111044346,0.5100721098006376,-0.0006420054835839448,-0.009873393463902962,2.0121232509613036
6,0.25,0.5,4,10,1.5,3.0,-1,8,"[550, 650]","[-1, 8]",,,1.4206093841403367,0.7237201307544652,0.0021725929670553777,-0.0048770028415375,2.1475679874420166
