run_id,voxel_size_scan,voxel_size_map,ndt_cell_size,ndt_iterations,r_scan,r_map,zlim_min,zlim_max,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
1,0.25,0.5,4,10,1.5,3.0,-2,7.0,"[550, 650]","[-2, 7.0]",,,1.2238300037131782,0.61076653608941,0.0007192900122242885,0.000165883673852976,4.236146489779155
2,0.25,0.5,4,10,1.5,3.0,-1.5,7.0,"[550, 650]","[-1.5, 7.0]",,,1.1250993706803962,0.4987307320575134,0.0,-0.009395612590060687,2.1062478733062746
3,0.25,0.5,4,10,1.5,3.0,-1,7.0,"[550, 650]","[-1, 7.0]",,,1.0963689111044346,0.5100721098006376,-0.0006420054835839448,-0.009873393463902962,2.0638454151153565
4,0.25,0.5,4,10,1.5,3.0,-0.5,7.0,"[550, 650]","[-0.5, 7.0]",,,1.34547564735191,0.5541522048356275,0.15913496969538854,0.04978484436113372,1.8722898294759351
5,0.25,0.5,4,10,1.5,3.0,0,7.0,"[550, 650]","[0, 7.0]",,,0.842946947620736,0.5200736737127916,-0.0004589539696271405,-0.00782686631441532,1.8185054540634156
6,0.25,0.5,4,10,1.5,3.0,1,7.0,"[550, 650]","[1, 7.0]",,,1.3143764654911272,0.6170258065016813,0.04325654237803647,0.004910374983954578,1.200767238185091
